id,created_at,source,original_text,lang,favorite_count,retweet_count,original_author,hashtags,user_mentions,place,clean_tweet,compound,neg,neu,pos,sentiment
1.31e+18,2020-10-01,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @redrobboone: Very interesting, ALSO India T&amp;T much better than UK/USA ! Who would have thought? https://t.co/Qi01SaGvJJ",en,0.0,2737.0,becauseicare14,,redrobboone,,"RT Ġ@ red rob bo one : ĠVery Ġinteresting , ĠALSO ĠIndia ĠT & amp ; T Ġmuch Ġbetter Ġthan ĠUK / USA Ġ! ĠWho Ġwould Ġhave Ġthought ? Ġhttps :// t . co / Q i 01 Sa G v JJ",0.7096,0.0,0.543,0.457,pos,"['RT Ġ@ red rob bo one : ĠVery Ġinteresting , ĠALSO ĠIndia ĠT & amp ; T Ġmuch Ġbetter Ġthan ĠUK / USA Ġ! ĠWho Ġwould Ġhave Ġthought ? Ġhttps :// t . co / Q i 01 Sa G v JJ', ('vaccine', 0.390412300825119), ('infection', 0.38903504610061646), ('death', 0.22055265307426453)]"
1.3e+18,2020-09-06,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",India is an agriculture country 70% of the population lives in villages and their business is agriculture and anima… https://t.co/9vbJujdE5p,en,0.0,1.0,SANDEEPCHAHAR50,,,rajasthan ,India Ġis Ġan Ġagriculture Ġcountry Ġ70 % Ġof Ġthe Ġpopulation Ġlives Ġin Ġvillages Ġand Ġtheir Ġbusiness Ġis Ġagriculture Ġand Ġanim a âĢ¦ Ġhttps :// t . co / 9 v b J uj d E 5 p,0.0,0.0,1.0,0.0,neu,"['India Ġis Ġan Ġagriculture Ġcountry Ġ70 % Ġof Ġthe Ġpopulation Ġlives Ġin Ġvillages Ġand Ġtheir Ġbusiness Ġis Ġagriculture Ġand Ġanim a âĢ¦ Ġhttps :// t . co / 9 v b J uj d E 5 p', ('vaccine', 0.41577520966529846), ('infection', 0.34898799657821655), ('death', 0.2352367788553238)]"
1.31e+18,2020-09-17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @DragonRageGamin: This bullshit covid 19 scamdemic needs to end today, not tomorrow today. 90% of the hospitals are committing medical i…",en,0.0,191.0,smileygurl56,,DragonRageGamin,U.S.A.,"RT Ġ@ Dragon R age G amin : ĠThis Ġbullshit Ġcov id Ġ19 Ġscam d emic Ġneeds Ġto Ġend Ġtoday , Ġnot Ġtomorrow Ġtoday . Ġ90 % Ġof Ġthe Ġhospitals Ġare Ġcommitting Ġmedical Ġi âĢ¦",-0.3818,0.253,0.6,0.147,neg,"['RT Ġ@ Dragon R age G amin : ĠThis Ġbullshit Ġcov id Ġ19 Ġscam d emic Ġneeds Ġto Ġend Ġtoday , Ġnot Ġtomorrow Ġtoday . Ġ90 % Ġof Ġthe Ġhospitals Ġare Ġcommitting Ġmedical Ġi âĢ¦', ('infection', 0.4691939055919647), ('death', 0.4074927568435669), ('vaccine', 0.12331325560808182)]"
1.3e+18,2020-08-22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @YayathiPuru: Today if we had Nehru instead of Nero is what  @grumpeoldman writes about  https://t.co/M8WSb0qU5x,en,0.0,1.0,grumpeoldman,,"YayathiPuru, grumpeoldman","Bombay, India",RT Ġ@ Y ay athi P uru : ĠToday Ġif Ġwe Ġhad ĠNeh ru Ġinstead Ġof ĠNero Ġis Ġwhat Ġ Ġ@ gr um pe old man Ġwrites Ġabout Ġ Ġhttps :// t . co / M 8 WS b 0 q U 5 x,0.0,0.0,1.0,0.0,neu,"['RT Ġ@ Y ay athi P uru : ĠToday Ġif Ġwe Ġhad ĠNeh ru Ġinstead Ġof ĠNero Ġis Ġwhat Ġ Ġ@ gr um pe old man Ġwrites Ġabout Ġ Ġhttps :// t . co / M 8 WS b 0 q U 5 x', ('infection', 0.3529471158981323), ('death', 0.32955774664878845), ('vaccine', 0.3174951672554016)]"
1.31e+18,2020-09-28,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @RachelBitecofer: I have a new shero &amp; her name is @KBeds:   ""The president thinks his best case is made in urine...We’d expect nothing…",en,0.0,0.0,antimullah,,"RachelBitecofer, KBeds",,"RT Ġ@ Rachel B ite co fer : ĠI Ġhave Ġa Ġnew Ġshe ro Ġ& amp ; Ġher Ġname Ġis Ġ@ KB eds : Ġ Ġ Ġ"" The Ġpresident Ġthinks Ġhis Ġbest Ġcase Ġis Ġmade Ġin Ġurine ... We âĢ Ļ d Ġexpect Ġnothing âĢ¦",0.6369,0.0,0.704,0.296,pos,"['RT Ġ@ Rachel B ite co fer : ĠI Ġhave Ġa Ġnew Ġshe ro Ġ& amp ; Ġher Ġname Ġis Ġ@ KB eds : Ġ Ġ Ġ"" The Ġpresident Ġthinks Ġhis Ġbest Ġcase Ġis Ġmade Ġin Ġurine ... We âĢ Ļ d Ġexpect Ġnothing âĢ¦', ('infection', 0.833756685256958), ('vaccine', 0.1303517073392868), ('death', 0.03589155524969101)]"
1.32e+18,2020-10-14,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @jonnajarian: Colleges are now only 8% of US daily cases compared to 15% a few weeks ago... So colleges are turning out to be much safer…,en,0.0,141.0,nvestnurslf,,jonnajarian,"Palmetto, FL. 34221",RT Ġ@ jon n aj arian : ĠColleges Ġare Ġnow Ġonly Ġ8 % Ġof ĠUS Ġdaily Ġcases Ġcompared Ġto Ġ15 % Ġa Ġfew Ġweeks Ġago ... ĠSo Ġcolleges Ġare Ġturning Ġout Ġto Ġbe Ġmuch Ġsafer âĢ¦,0.4215,0.0,0.763,0.237,pos,"['RT Ġ@ jon n aj arian : ĠColleges Ġare Ġnow Ġonly Ġ8 % Ġof ĠUS Ġdaily Ġcases Ġcompared Ġto Ġ15 % Ġa Ġfew Ġweeks Ġago ... ĠSo Ġcolleges Ġare Ġturning Ġout Ġto Ġbe Ġmuch Ġsafer âĢ¦', ('infection', 0.4257766306400299), ('vaccine', 0.3509693741798401), ('death', 0.2232539802789688)]"
1.31e+18,2020-09-28,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","I thought this was meant to be anonymous. Why would there be a security risk, unless it asks for your occupation?… https://t.co/0JBee4mNYA",en,0.0,36.0,lostaquarian,,,With cyclecheff,"I Ġthought Ġthis Ġwas Ġmeant Ġto Ġbe Ġanonymous . ĠWhy Ġwould Ġthere Ġbe Ġa Ġsecurity Ġrisk , Ġunless Ġit Ġasks Ġfor Ġyour Ġoccupation ? âĢ¦ Ġhttps :// t . co / 0 JB ee 4 m NY A",-0.2732,0.208,0.792,0.0,neg,"['I Ġthought Ġthis Ġwas Ġmeant Ġto Ġbe Ġanonymous . ĠWhy Ġwould Ġthere Ġbe Ġa Ġsecurity Ġrisk , Ġunless Ġit Ġasks Ġfor Ġyour Ġoccupation ? âĢ¦ Ġhttps :// t . co / 0 JB ee 4 m NY A', ('infection', 0.4526861906051636), ('vaccine', 0.3466275632381439), ('death', 0.2006862312555313)]"
1.3e+18,2020-09-03,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @amazingatheist: COVID-19. Great Depression 2. Political extremism. Racial division. Class division. Civil unrest. Talk of civil war. Ec…,en,0.0,0.0,CookeCasen,,amazingatheist,,RT Ġ@ am azing athe ist : ĠCO VID - 19 . ĠGreat ĠDepression Ġ2 . ĠPolitical Ġextremism . ĠRacial Ġdivision . ĠClass Ġdivision . ĠCivil Ġunrest . ĠTalk Ġof Ġcivil Ġwar . ĠEc âĢ¦,-0.4588,0.306,0.517,0.177,neg,"['RT Ġ@ am azing athe ist : ĠCO VID - 19 . ĠGreat ĠDepression Ġ2 . ĠPolitical Ġextremism . ĠRacial Ġdivision . ĠClass Ġdivision . ĠCivil Ġunrest . ĠTalk Ġof Ġcivil Ġwar . ĠEc âĢ¦', ('vaccine', 0.4579932391643524), ('infection', 0.3267976641654968), ('death', 0.21520905196666718)]"
1.32e+18,2020-10-20,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","Congratulations to @SunnyHillsAcco! ""Unmasking a fashion trend: COVID-19 coverings lead to Lancers’ collection for… https://t.co/UeUucr8zp8",en,0.0,201.0,BestofSNO,,SunnyHillsAcco,,"Congratulations Ġto Ġ@ Sun ny H ills Acc o ! Ġ"" Un mask ing Ġa Ġfashion Ġtrend : ĠCO VID - 19 Ġcover ings Ġlead Ġto ĠL ancers âĢ Ļ Ġcollection Ġfor âĢ¦ Ġhttps :// t . co / U e U uc r 8 z p 8",0.0,0.0,1.0,0.0,neu,"['Congratulations Ġto Ġ@ Sun ny H ills Acc o ! Ġ"" Un mask ing Ġa Ġfashion Ġtrend : ĠCO VID - 19 Ġcover ings Ġlead Ġto ĠL ancers âĢ Ļ Ġcollection Ġfor âĢ¦ Ġhttps :// t . co / U e U uc r 8 z p 8', ('infection', 0.8402881026268005), ('vaccine', 0.09643000364303589), ('death', 0.0632818415760994)]"
1.32e+18,2020-10-19,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","We're now over 40M COVID-19 cases with 40,186,016 global cases according to Johns Hopkins University of Medicine Cornavirus Resource Centre.",en,0.0,445.0,BStone77b,,,,"We 're Ġnow Ġover Ġ40 M ĠCO VID - 19 Ġcases Ġwith Ġ40 , 186 , 016 Ġglobal Ġcases Ġaccording Ġto ĠJohns ĠHopkins ĠUniversity Ġof ĠMedicine ĠCorn av irus ĠResource ĠCentre .",0.0,0.0,1.0,0.0,neu,"[""We 're Ġnow Ġover Ġ40 M ĠCO VID - 19 Ġcases Ġwith Ġ40 , 186 , 016 Ġglobal Ġcases Ġaccording Ġto ĠJohns ĠHopkins ĠUniversity Ġof ĠMedicine ĠCorn av irus ĠResource ĠCentre ."", ('vaccine', 0.46615999937057495), ('infection', 0.36910033226013184), ('death', 0.1647396683692932)]"
1.31e+18,2020-09-28,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",This stuff should be all over social media https://t.co/YTjjciLFaH,en,0.0,409.0,Greystone248424,,,,This Ġstuff Ġshould Ġbe Ġall Ġover Ġsocial Ġmedia Ġhttps :// t . co / Y T jj ci L Fa H,0.0,0.0,1.0,0.0,neu,"['This Ġstuff Ġshould Ġbe Ġall Ġover Ġsocial Ġmedia Ġhttps :// t . co / Y T jj ci L Fa H', ('vaccine', 0.4424539804458618), ('infection', 0.4165756404399872), ('death', 0.1409703493118286)]"
1.3e+18,2020-08-31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @rickett_chris: Another @digital_mainst success story: COVID-19 Was The ""Final Push For E-Commerce” For Photographer Gillian Mapp https:…",en,0.0,788.0,wkwbia,,"rickett_chris, digital_mainst",,"RT Ġ@ rick ett _ ch ris : ĠAnother Ġ@ digital _ main st Ġsuccess Ġstory : ĠCO VID - 19 ĠWas ĠThe Ġ"" Final ĠPush ĠFor ĠE - Commerce âĢ Ŀ ĠFor ĠPhotographer ĠGill ian ĠM app Ġhttps : âĢ¦",0.5719,0.0,0.73,0.27,pos,"['RT Ġ@ rick ett _ ch ris : ĠAnother Ġ@ digital _ main st Ġsuccess Ġstory : ĠCO VID - 19 ĠWas ĠThe Ġ"" Final ĠPush ĠFor ĠE - Commerce âĢ Ŀ ĠFor ĠPhotographer ĠGill ian ĠM app Ġhttps : âĢ¦', ('vaccine', 0.497814804315567), ('infection', 0.39004287123680115), ('death', 0.11214228719472885)]"
1.32e+18,2020-10-11,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#Brazil’s count of #COVID19 deaths surpassed 150,000 on Saturday night, despite signs the pandemic is slowly retrea… https://t.co/o2kxAq56RB",en,0.0,6.0,ConquerCovid_19,"Brazil, COVID19",,"Norman, OK, US","# Brazil âĢ Ļ s Ġcount Ġof Ġ# CO VID 19 Ġdeaths Ġsurpassed Ġ150 , 000 Ġon ĠSaturday Ġnight , Ġdespite Ġsigns Ġthe Ġpand emic Ġis Ġslowly Ġret rea âĢ¦ Ġhttps :// t . co / o 2 k x A q 56 RB",-0.5994,0.302,0.698,0.0,neg,"['# Brazil âĢ Ļ s Ġcount Ġof Ġ# CO VID 19 Ġdeaths Ġsurpassed Ġ150 , 000 Ġon ĠSaturday Ġnight , Ġdespite Ġsigns Ġthe Ġpand emic Ġis Ġslowly Ġret rea âĢ¦ Ġhttps :// t . co / o 2 k x A q 56 RB', ('death', 0.8962990045547485), ('infection', 0.08036363124847412), ('vaccine', 0.0233373511582613)]"
1.31e+18,2020-10-01,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Dr.Silverman speaking about influenza and COVID-19 https://t.co/8i5FNXV5Ul,en,0.0,14.0,almhrooqi,,,"London, Ontario",Dr . Silver man Ġspeaking Ġabout Ġinfluenza Ġand ĠCO VID - 19 Ġhttps :// t . co / 8 i 5 FN X V 5 Ul,0.0,0.0,1.0,0.0,neu,"['Dr . Silver man Ġspeaking Ġabout Ġinfluenza Ġand ĠCO VID - 19 Ġhttps :// t . co / 8 i 5 FN X V 5 Ul', ('infection', 0.8837429881095886), ('vaccine', 0.10885077714920044), ('death', 0.007406250573694706)]"
1.31e+18,2020-10-08,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",TIL Jim Cramer owns 2 NY restaurants. A long line of bad investment decisions https://t.co/w0ylSEoBse https://t.co/IUF81JpJZm,en,0.0,0.0,kylet___,,,"Seattle, WA",T IL ĠJim ĠC ramer Ġowns Ġ2 ĠNY Ġrestaurants . ĠA Ġlong Ġline Ġof Ġbad Ġinvestment Ġdecisions Ġhttps :// t . co / w 0 yl SE o B se Ġhttps :// t . co / I UF 81 J p J Z m,-0.5423,0.259,0.741,0.0,neg,"['T IL ĠJim ĠC ramer Ġowns Ġ2 ĠNY Ġrestaurants . ĠA Ġlong Ġline Ġof Ġbad Ġinvestment Ġdecisions Ġhttps :// t . co / w 0 yl SE o B se Ġhttps :// t . co / I UF 81 J p J Z m', ('infection', 0.45357921719551086), ('death', 0.3099552392959595), ('vaccine', 0.23646551370620728)]"
1.31e+18,2020-09-28,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>",RT @kylamb8: I bet Anthony Fauci missed or forgot about this one too...an entry on the NIH Director's Blog from July 28 about T cells.  htt…,en,0.0,19.0,KonradSGraf,,kylamb8,,RT Ġ@ ky lam b 8 : ĠI Ġbet ĠAnthony ĠF au ci Ġmissed Ġor Ġforgot Ġabout Ġthis Ġone Ġtoo ... an Ġentry Ġon Ġthe ĠNIH ĠDirector 's ĠBlog Ġfrom ĠJuly Ġ28 Ġabout ĠT Ġcells . Ġ Ġhtt âĢ¦,-0.1531,0.118,0.882,0.0,neg,"[""RT Ġ@ ky lam b 8 : ĠI Ġbet ĠAnthony ĠF au ci Ġmissed Ġor Ġforgot Ġabout Ġthis Ġone Ġtoo ... an Ġentry Ġon Ġthe ĠNIH ĠDirector 's ĠBlog Ġfrom ĠJuly Ġ28 Ġabout ĠT Ġcells . Ġ Ġhtt âĢ¦"", ('infection', 0.47674116492271423), ('death', 0.28549158573150635), ('vaccine', 0.2377672791481018)]"
1.3e+18,2020-09-03,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @ankhamanagement: I love how some ads have started adding “filmed before covid-19” as a subtitle,en,0.0,1.0,chyIerIeiqhs,,ankhamanagement,they/them,RT Ġ@ ank ham an agement : ĠI Ġlove Ġhow Ġsome Ġads Ġhave Ġstarted Ġadding ĠâĢ ľ fil med Ġbefore Ġcov id - 19 âĢ Ŀ Ġas Ġa Ġsubtitle,0.6369,0.0,0.588,0.412,pos,"['RT Ġ@ ank ham an agement : ĠI Ġlove Ġhow Ġsome Ġads Ġhave Ġstarted Ġadding ĠâĢ ľ fil med Ġbefore Ġcov id - 19 âĢ Ŀ Ġas Ġa Ġsubtitle', ('infection', 0.8835558295249939), ('vaccine', 0.09520888328552246), ('death', 0.02123527228832245)]"
1.31e+18,2020-10-09,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @MadamEarth2: American Tweeps.   If you get #Covid_19, YOU WILL NOT RECEIVE THE SAME EXPENSIVE EXPERIMENTAL TREATMENT that #Trump receiv…",en,0.0,89.0,SammieMacM,"Covid_19, Trump",MadamEarth2,"Brisbane, the city I love. ","RT Ġ@ Mad am Earth 2 : ĠAmerican ĠTwe eps . Ġ Ġ ĠIf Ġyou Ġget Ġ# C ov id _ 19 , ĠYOU ĠWILL ĠNOT ĠREC E IVE ĠTHE ĠS AME ĠEXP ENS IVE ĠEX PER IM ENT AL ĠTRE AT MENT Ġthat Ġ# Trump Ġrece iv âĢ¦",0.0,0.0,1.0,0.0,neu,"['RT Ġ@ Mad am Earth 2 : ĠAmerican ĠTwe eps . Ġ Ġ ĠIf Ġyou Ġget Ġ# C ov id _ 19 , ĠYOU ĠWILL ĠNOT ĠREC E IVE ĠTHE ĠS AME ĠEXP ENS IVE ĠEX PER IM ENT AL ĠTRE AT MENT Ġthat Ġ# Trump Ġrece iv âĢ¦', ('infection', 0.4624273478984833), ('vaccine', 0.388765424489975), ('death', 0.14880722761154175)]"
1.31e+18,2020-10-04,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@gregwilton @don_wilton @bryantwright @sendrelief People, RE-ELECT TRUMP. As God allowed Chris crucifixion 4 your s… https://t.co/rXppjvd3vD",en,0.0,6415.0,Bercmag,,"gregwilton, don_wilton, bryantwright, sendrelief",,"@ greg w ilton Ġ@ don _ w ilton Ġ@ b ry ant wright Ġ@ send rel ief ĠPeople , ĠRE - E LECT ĠTRUMP . ĠAs ĠGod Ġallowed ĠChris Ġcrucifix ion Ġ4 Ġyour Ġs âĢ¦ Ġhttps :// t . co / r X pp j vd 3 v D",0.4588,0.0,0.556,0.444,pos,"['@ greg w ilton Ġ@ don _ w ilton Ġ@ b ry ant wright Ġ@ send rel ief ĠPeople , ĠRE - E LECT ĠTRUMP . ĠAs ĠGod Ġallowed ĠChris Ġcrucifix ion Ġ4 Ġyour Ġs âĢ¦ Ġhttps :// t . co / r X pp j vd 3 v D', ('infection', 0.42874184250831604), ('vaccine', 0.3704100251197815), ('death', 0.20084816217422485)]"
1.3e+18,2020-09-06,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",USA in decline - Trump.  $6 Trillion more in debt!!!  Post Office!!!  COVID-19 https://t.co/eXlgWeqBF0,en,0.0,146.0,AlexYip74095046,,,,USA Ġin Ġdecline Ġ- ĠTrump . Ġ Ġ$ 6 ĠTr illion Ġmore Ġin Ġdebt !!! Ġ ĠPost ĠOffice !!! Ġ ĠCO VID - 19 Ġhttps :// t . co / e X l g We q BF 0,-0.3612,0.263,0.737,0.0,neg,"['USA Ġin Ġdecline Ġ- ĠTrump . Ġ Ġ$ 6 ĠTr illion Ġmore Ġin Ġdebt !!! Ġ ĠPost ĠOffice !!! Ġ ĠCO VID - 19 Ġhttps :// t . co / e X l g We q BF 0', ('infection', 0.48437678813934326), ('death', 0.2857777774333954), ('vaccine', 0.22984537482261658)]"
1.3e+18,2020-08-31,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@ChouhanShivraj Everyone is talking about jee and neet exam but being a nda aspirant we also want also want somethi… https://t.co/bYVeVk4qbE,en,0.0,12.0,MShivanshu24,,ChouhanShivraj,,@ Ch ou han Sh iv ra j ĠEveryone Ġis Ġtalking Ġabout Ġj ee Ġand Ġne et Ġexam Ġbut Ġbeing Ġa Ġn da Ġaspir ant Ġwe Ġalso Ġwant Ġalso Ġwant Ġsomet hi âĢ¦ Ġhttps :// t . co / b Y Ve V k 4 q b E,0.1531,0.0,0.794,0.206,pos,"['@ Ch ou han Sh iv ra j ĠEveryone Ġis Ġtalking Ġabout Ġj ee Ġand Ġne et Ġexam Ġbut Ġbeing Ġa Ġn da Ġaspir ant Ġwe Ġalso Ġwant Ġalso Ġwant Ġsomet hi âĢ¦ Ġhttps :// t . co / b Y Ve V k 4 q b E', ('vaccine', 0.8142593502998352), ('infection', 0.148199200630188), ('death', 0.037541463971138)]"
1.31e+18,2020-09-29,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@sproudfoot In my town of Orangeville, population 30,000, the assessment centre was closed at 2 P.M. yesterday beca… https://t.co/Ni4VaFNnYQ",en,0.0,6.0,Bettie2,,sproudfoot,,"@ sp roud foot ĠIn Ġmy Ġtown Ġof ĠOrange ville , Ġpopulation Ġ30 , 000 , Ġthe Ġassessment Ġcentre Ġwas Ġclosed Ġat Ġ2 ĠP . M . Ġyesterday Ġbec a âĢ¦ Ġhttps :// t . co / Ni 4 Va FN n Y Q",0.0,0.0,1.0,0.0,neu,"['@ sp roud foot ĠIn Ġmy Ġtown Ġof ĠOrange ville , Ġpopulation Ġ30 , 000 , Ġthe Ġassessment Ġcentre Ġwas Ġclosed Ġat Ġ2 ĠP . M . Ġyesterday Ġbec a âĢ¦ Ġhttps :// t . co / Ni 4 Va FN n Y Q', ('vaccine', 0.40368229150772095), ('death', 0.30507317185401917), ('infection', 0.29124459624290466)]"
1.31e+18,2020-10-08,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @KeithOlbermann: NEW VIDEO: Trump is a mass murderer whose return to the White House means 150,000 more of us will die of Covid-19 befor…",en,0.0,194.0,Richard88667722,,KeithOlbermann,,"RT Ġ@ Keith Ol ber mann : ĠNEW ĠVIDEO : ĠTrump Ġis Ġa Ġmass Ġmurderer Ġwhose Ġreturn Ġto Ġthe ĠWhite ĠHouse Ġmeans Ġ150 , 000 Ġmore Ġof Ġus Ġwill Ġdie Ġof ĠCov id - 19 Ġbe for âĢ¦",-0.8625,0.439,0.561,0.0,neg,"['RT Ġ@ Keith Ol ber mann : ĠNEW ĠVIDEO : ĠTrump Ġis Ġa Ġmass Ġmurderer Ġwhose Ġreturn Ġto Ġthe ĠWhite ĠHouse Ġmeans Ġ150 , 000 Ġmore Ġof Ġus Ġwill Ġdie Ġof ĠCov id - 19 Ġbe for âĢ¦', ('death', 0.9270802140235901), ('infection', 0.0567665733397007), ('vaccine', 0.016153179109096527)]"
1.31e+18,2020-10-06,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @brfootball: OFFICIAL: The Swiss FA announce that Liverpool winger Xherdan Shaqiri has tested positive for COVID-19 https://t.co/wNBhb02…,en,0.0,12082.0,HassanNatha,,brfootball,Cape Town 🏖 South Africa 🇿🇦,RT Ġ@ br football : ĠOFFIC IAL : ĠThe ĠSwiss ĠFA Ġannounce Ġthat ĠLiverpool Ġwinger ĠX her dan ĠSha q iri Ġhas Ġtested Ġpositive Ġfor ĠCO VID - 19 Ġhttps :// t . co / w NB h b 02 âĢ¦,0.0,0.0,1.0,0.0,neu,"['RT Ġ@ br football : ĠOFFIC IAL : ĠThe ĠSwiss ĠFA Ġannounce Ġthat ĠLiverpool Ġwinger ĠX her dan ĠSha q iri Ġhas Ġtested Ġpositive Ġfor ĠCO VID - 19 Ġhttps :// t . co / w NB h b 02 âĢ¦', ('vaccine', 0.8714856505393982), ('infection', 0.08988387137651443), ('death', 0.038630448281764984)]"
1.31e+18,2020-09-25,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Mass update, 9.25: 127,317 cases and 9,160 deaths. 454 new cases and 10 new deaths.  #COVID19 #coronavirus #CoronaVirusUpdates",en,0.0,1.0,drstef,"COVID19, coronavirus, CoronaVirusUpdates",,"Fall River, MA","Mass Ġupdate , Ġ9 . 25 : Ġ127 , 317 Ġcases Ġand Ġ9 , 160 Ġdeaths . Ġ4 54 Ġnew Ġcases Ġand Ġ10 Ġnew Ġdeaths . Ġ Ġ# CO VID 19 Ġ# cor on av irus Ġ# Cor ona V irus Up dates",-0.8316,0.565,0.435,0.0,neg,"['Mass Ġupdate , Ġ9 . 25 : Ġ127 , 317 Ġcases Ġand Ġ9 , 160 Ġdeaths . Ġ4 54 Ġnew Ġcases Ġand Ġ10 Ġnew Ġdeaths . Ġ Ġ# CO VID 19 Ġ# cor on av irus Ġ# Cor ona V irus Up dates', ('death', 0.8427116274833679), ('vaccine', 0.08500560373067856), ('infection', 0.07228276133537292)]"
1.32e+18,2020-10-20,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @lapublichealth: Due to technical issues with data reporting systems, today's COVID-19 update will be delayed.    https://t.co/ZqP8PATbt…",en,0.0,11.0,GenesisFregoso,,lapublichealth,"Los Angeles, CA","RT Ġ@ lap ublic health : ĠDue Ġto Ġtechnical Ġissues Ġwith Ġdata Ġreporting Ġsystems , Ġtoday 's ĠCO VID - 19 Ġupdate Ġwill Ġbe Ġdelayed . Ġ Ġ Ġ Ġhttps :// t . co / Z q P 8 P AT bt âĢ¦",-0.3182,0.204,0.796,0.0,neg,"[""RT Ġ@ lap ublic health : ĠDue Ġto Ġtechnical Ġissues Ġwith Ġdata Ġreporting Ġsystems , Ġtoday 's ĠCO VID - 19 Ġupdate Ġwill Ġbe Ġdelayed . Ġ Ġ Ġ Ġhttps :// t . co / Z q P 8 P AT bt âĢ¦"", ('vaccine', 0.4818415939807892), ('infection', 0.34744012355804443), ('death', 0.17071829736232758)]"
1.31e+18,2020-09-30,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @SimonLHudson: @BorisJohnson Great job Boris. You said today at PMQs that you take full responsibility for the UK COVID 19 response. Tha…,en,0.0,5.0,carolinehills2,,"SimonLHudson, BorisJohnson","Yorkshire, UK 🌍",RT Ġ@ Simon L H ud son : Ġ@ B oris Johnson ĠGreat Ġjob ĠBoris . ĠYou Ġsaid Ġtoday Ġat ĠPM Q s Ġthat Ġyou Ġtake Ġfull Ġresponsibility Ġfor Ġthe ĠUK ĠCO VID Ġ19 Ġresponse . ĠTh a âĢ¦,0.6249,0.0,0.745,0.255,pos,"['RT Ġ@ Simon L H ud son : Ġ@ B oris Johnson ĠGreat Ġjob ĠBoris . ĠYou Ġsaid Ġtoday Ġat ĠPM Q s Ġthat Ġyou Ġtake Ġfull Ġresponsibility Ġfor Ġthe ĠUK ĠCO VID Ġ19 Ġresponse . ĠTh a âĢ¦', ('vaccine', 0.5080022811889648), ('infection', 0.3470451533794403), ('death', 0.14495256543159485)]"
1.32e+18,2020-10-18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@Iesbixn Continue to show us your happiness, it is contagious and much better than Covid-19 😍🥰😍🍀",en,0.0,206.0,jade_prevert,,Iesbixn,"Milan, Lombardie","@ I es b ix n ĠContinue Ġto Ġshow Ġus Ġyour Ġhappiness , Ġit Ġis Ġcontagious Ġand Ġmuch Ġbetter Ġthan ĠCov id - 19 ĠðŁĺ į ðŁ ¥ ° ðŁĺ į ðŁ į Ģ",0.4404,0.0,0.674,0.326,pos,"['@ I es b ix n ĠContinue Ġto Ġshow Ġus Ġyour Ġhappiness , Ġit Ġis Ġcontagious Ġand Ġmuch Ġbetter Ġthan ĠCov id - 19 ĠðŁĺ į ðŁ ¥ ° ðŁĺ į ðŁ į Ģ', ('infection', 0.9415034651756287), ('vaccine', 0.054713960736989975), ('death', 0.003782618558034301)]"
